# Book of the day pool: one "CATEGORY | Title | Author" per line. scripts/update_picks.py
# picks one at random each day and fetches the cover from Open Library. Add or remove freely;
# blank lines and lines starting with # are ignored.

SCI-FI | Dune | Frank Herbert
SCI-FI | Project Hail Mary | Andy Weir
SCI-FI | The Martian | Andy Weir
SCI-FI | The Three-Body Problem | Liu Cixin
SCI-FI | The Dark Forest | Liu Cixin
SCI-FI | Neuromancer | William Gibson
SCI-FI | Snow Crash | Neal Stephenson
SCI-FI | Seveneves | Neal Stephenson
SCI-FI | Foundation | Isaac Asimov
SCI-FI | I, Robot | Isaac Asimov
SCI-FI | Hyperion | Dan Simmons
SCI-FI | Ender's Game | Orson Scott Card
SCI-FI | Blindsight | Peter Watts
SCI-FI | Children of Time | Adrian Tchaikovsky
SCI-FI | Leviathan Wakes | James S. A. Corey
SCI-FI | Red Rising | Pierce Brown
SCI-FI | Recursion | Blake Crouch
SCI-FI | Dark Matter | Blake Crouch
SCI-FI | Altered Carbon | Richard K. Morgan
SCI-FI | Ready Player One | Ernest Cline
SCI-FI | The Hitchhiker's Guide to the Galaxy | Douglas Adams
SCI-FI | Do Androids Dream of Electric Sheep? | Philip K. Dick
SCI-FI | Rendezvous with Rama | Arthur C. Clarke
SCI-FI | 2001: A Space Odyssey | Arthur C. Clarke
SCI-FI | Starship Troopers | Robert A. Heinlein
SCI-FI | The Forever War | Joe Haldeman
SCI-FI | Old Man's War | John Scalzi
SCI-FI | Solaris | Stanislaw Lem
SCI-FI | Ringworld | Larry Niven
SCI-FI | Flowers for Algernon | Daniel Keyes
FANTASY | The Way of Kings | Brandon Sanderson
FANTASY | Mistborn: The Final Empire | Brandon Sanderson
FANTASY | The Name of the Wind | Patrick Rothfuss
FANTASY | The Blade Itself | Joe Abercrombie
FANTASY | The Lies of Locke Lamora | Scott Lynch
FANTASY | A Game of Thrones | George R. R. Martin
FANTASY | The Hobbit | J. R. R. Tolkien
FANTASY | The Fellowship of the Ring | J. R. R. Tolkien
FANTASY | The Eye of the World | Robert Jordan
FANTASY | Gardens of the Moon | Steven Erikson
FANTASY | The Black Company | Glen Cook
FANTASY | Prince of Thorns | Mark Lawrence
FANTASY | The Last Wish | Andrzej Sapkowski
FANTASY | American Gods | Neil Gaiman
FANTASY | The Colour of Magic | Terry Pratchett
FANTASY | Assassin's Apprentice | Robin Hobb
FANTASY | The Poppy War | R. F. Kuang
FANTASY | Dungeon Crawler Carl | Matt Dinniman
FANTASY | Unsouled | Will Wight
FANTASY | Red Sister | Mark Lawrence
THRILLER | The Girl with the Dragon Tattoo | Stieg Larsson
THRILLER | Gone Girl | Gillian Flynn
THRILLER | The Silence of the Lambs | Thomas Harris
THRILLER | The Bourne Identity | Robert Ludlum
THRILLER | The Hunt for Red October | Tom Clancy
THRILLER | I Am Pilgrim | Terry Hayes
THRILLER | Killing Floor | Lee Child
THRILLER | The Day of the Jackal | Frederick Forsyth
THRILLER | And Then There Were None | Agatha Christie
THRILLER | The Hound of the Baskervilles | Arthur Conan Doyle
THRILLER | Shutter Island | Dennis Lehane
THRILLER | The Silent Patient | Alex Michaelides
THRILLER | No Country for Old Men | Cormac McCarthy
THRILLER | The Godfather | Mario Puzo
THRILLER | Jurassic Park | Michael Crichton
CLASSIC | Nineteen Eighty-Four | George Orwell
CLASSIC | Brave New World | Aldous Huxley
CLASSIC | Fahrenheit 451 | Ray Bradbury
CLASSIC | Crime and Punishment | Fyodor Dostoevsky
